state,x,y
Andhra Pradesh, -78.0, -109.0
Arunachal Pradesh, 232.0, 143.0
Assam, 184.0, 101.0
Bihar, 72.0, 77.0
Chhattisgarh, -28.0, -10.0
Goa, -162.0, -136.0
Gujarat, -201.0, 33.0
Haryana, -118.0, 158.0
Himachal Pradesh, -65.0, 174.0
Jammu and Kashmir, -99.0, 254.0
Jharkhand, 64.0, 31.0
Karnataka, -156.0, -163.0
Kerala, -116.0, -247.0
Madhya Pradesh, -114.0, 27.0    
Maharashtra, -134.0, -56.0
Manipur, 232.0, 63.0
Meghalaya, 156.0, 76.0
Mizoram, 215.0, 29.0
Nagaland, 243.0, 97.0
Odisha, 53.0, -33.0
Punjab, -140.0, 190.0
Rajasthan, -160.0, 99.0
Sikkim, 109.0, 120.0
Tamil Nadu, -99.0, -233.0
Tripura, 165.0, 43.0
Uttar Pradesh, -35.0, 90.0
Uttarakhand, -47.0, 171.0
West Bengal, 98.0, 23.0
